id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
307,だいず［豆腐・油揚げ類］豆腐よう　,189,9.5,8.3,19.1,0.8,18.3,1.9
308,豆腐竹輪　蒸し　,126,14.9,4.4,6.7,0.8,5.9,1.9
309,豆腐竹輪　焼き　,139,16.1,4.9,7.5,0.7,6.8,2.3
310,ろくじょう豆腐　,347,34.7,21.5,3.8,3.2,0.6,11
311,だいず［納豆類］糸引き納豆　,200,16.5,10,12.1,6.7,5.4,0
312,だいず［納豆類］挽きわり納豆　,194,16.6,10,10.5,5.9,4.6,0
313,だいず［納豆類］五斗納豆　,227,15.3,8.1,24,4.9,19.1,5.8
314,だいず［納豆類］寺納豆　,271,18.6,8.1,31.5,7.6,23.9,14.2
315,だいず［その他］おから　生　,111,6.1,3.6,13.8,11.5,2.3,0
316,だいず［その他］おから　乾燥　,421,23.1,13.6,52.3,43.6,8.7,0
317,だいず［その他］豆乳　豆乳　,46,3.6,2,3.1,0.2,2.9,0
318,だいず［その他］豆乳　調製豆乳　,64,3.2,3.6,4.8,0.3,4.5,0.1
319,豆乳　豆乳飲料・麦芽コーヒー　,60,2.2,2.2,7.8,0.1,7.7,0.1
320,大豆たんぱく　粒状大豆たんぱく　,360,46.3,3,36.7,17.8,18.9,0
321,大豆たんぱく　濃縮大豆たんぱく　,361,58.2,1.7,27.9,20.9,7,1.4
322,大豆たんぱく　分離大豆たんぱく　塩分無調整,388,79.1,3,7.5,4.2,3.3,3.3
323,大豆たんぱく　分離大豆たんぱく　塩分調整,388,79.1,3,7.5,4.2,3.3,1.6
324,大豆たんぱく　繊維状大豆たんぱく　,383,59.3,5,25.2,5.6,19.6,3.6
325,だいず［その他］湯葉　生　,231,21.8,13.7,4.1,0.8,3.3,0
326,だいず［その他］湯葉　干し　乾　,530,50.4,32.1,7.2,3,4.2,0
327,だいず［その他］湯葉　干し　湯戻し　,161,15.7,10.6,0.1,1.2,0,0
328,だいず［その他］金山寺みそ　,256,6.9,3.2,50,3.2,46.8,5.1
329,だいず［その他］ひしおみそ　,206,6.5,2.7,38.8,2.8,36,4.8
330,だいず［その他］テンペ　,202,15.8,9,15.4,10.2,5.2,0
331,つるあずき　全粒　乾　,348,20.8,1.6,61.8,22,39.8,0
332,つるあずき　全粒　ゆで　,159,9.7,1,27.5,13.4,14.1,0
333,ひよこまめ　全粒　乾　,374,20,5.2,61.5,16.3,45.2,0
334,ひよこまめ　全粒　ゆで　,171,9.5,2.5,27.4,11.6,15.8,0
335,ひよこまめ　全粒　フライ　味付け　,419,18.8,10.4,62.6,21,41.6,1.8
336,べにばないんげん　全粒　乾　,332,17.2,1.7,61.2,26.7,34.5,0
337,べにばないんげん　全粒　ゆで　,121,6.2,0.6,22.3,7.6,14.7,0
338,らいまめ　全粒　乾　,351,21.9,1.8,60.8,19.6,41.2,0
339,らいまめ　全粒　ゆで　,152,9.6,0.9,26,10.9,15.1,0
340,りょくとう　全粒　乾　,354,25.1,1.5,59.1,14.6,44.5,0
341,りょくとう　全粒　ゆで　,137,10.2,0.6,22.5,5.2,17.3,0
342,レンズまめ　全粒　乾　,352,23.2,1.5,60.7,16.7,44,0
343,レンズまめ　全粒　ゆで　,170,11.2,0.8,29.1,9.4,19.7,0
344,アーモンド　乾　,587,19.6,51.8,20.9,10.1,10.8,0
345,アーモンド　フライ 味付け　,606,19.2,53.6,22.3,11.9,10.4,0.3
346,アーモンド　いり　無塩　,608,20.3,54.1,20.7,11,9.7,0
347,あさ　乾　,463,29.5,27.9,31.3,22.7,8.6,0
348,あまに　いり　,564,21.9,43.5,30.5,24,6.5,0.2
349,えごま　乾　,544,17.7,43.4,29.4,20.8,8.6,0
350,カシューナッツ　フライ　味付け　,576,19.8,47.6,26.7,6.7,20,0.6
351,かぼちゃ　いり　味付け　,574,26.5,51.8,12,7.3,4.7,0.1
352,かや　いり　,665,8.7,64.9,22.6,18.2,4.4,0
353,ぎんなん　生　,171,4.7,1.6,34.8,1.6,33.2,0
354,ぎんなん　ゆで　,174,4.6,1.5,35.8,2.4,33.4,0
355,日本ぐり　生　,164,2.8,0.5,36.9,4.2,32.7,0
356,日本ぐり　ゆで　,167,3.5,0.6,36.7,6.6,30.1,0
357,日本ぐり　甘露煮　,238,1.8,0.4,56.8,2.8,54,0
358,中国ぐり　甘ぐり　,222,4.9,0.9,48.5,8.5,40,0
359,くるみ　いり　,674,14.6,68.8,11.7,7.5,4.2,0
360,けし　乾　,567,19.3,49.1,21.8,16.5,5.3,0
361,ココナッツ　ココナッツパウダー　,668,6.1,65.8,23.7,14.1,9.6,0
362,ごま　乾　,578,19.8,51.9,18.4,10.8,7.6,0
363,ごま　いり　,599,20.3,54.2,18.5,12.6,5.9,0
364,ごま　むき　,603,19.3,54.9,18.8,13,5.8,0
365,ごま　ねり　,605,20.5,54.7,18.7,12.7,6,0
366,しい　生　,252,3.2,0.8,57.6,3.3,54.3,0
367,すいか　いり　味付け　,546,29.6,46.4,13.4,7.1,6.3,1.5
368,とち　蒸し　,161,1.7,1.9,34.2,6.6,27.6,0.6
369,はす　未熟　生　,85,5.9,0.5,14.9,2.6,12.3,0
370,はす　成熟　乾　,344,18.3,2.3,64.3,10.3,54,0
371,はす　成熟　ゆで　,133,7.3,0.8,25,5,20,0
372,ひし　生　,190,5.8,0.5,40.6,2.9,37.7,0
373,ピスタチオ　いり　味付け　,615,17.4,56.1,20.9,9.2,11.7,0.7
374,ひまわり　フライ　味付け　,611,20.1,56.3,17.2,6.9,10.3,0.6
376,ブラジルナッツ　フライ　味付け　,669,14.9,69.1,9.6,7.2,2.4,0.2
377,ヘーゼルナッツ　フライ　味付け　,684,13.6,69.3,13.9,7.4,6.5,0.1
379,ペカン　フライ　味付け　,702,9.6,73.4,13.3,7.1,6.2,0.4
380,マカダミアナッツ　いり　味付け　,720,8.3,76.7,12.2,6.2,6,0.5
381,まつ　生　,669,15.8,68.2,10.6,4.1,6.5,0
382,まつ　いり　,690,14.6,72.5,8.1,6.9,1.2,0
383,らっかせい　乾　大粒種　,562,25.4,47.5,18.8,7.4,11.4,0
384,らっかせい　乾　小粒種　,562,25.4,47.5,18.8,7.4,11.4,0
385,らっかせい　いり　大粒種　,585,26.5,49.4,19.6,7.2,12.4,0
386,らっかせい　いり　小粒種　,585,26.5,49.4,19.6,7.2,12.4,0
387,らっかせい　バターピーナッツ　,592,25.5,51.3,18.2,6.9,11.3,0.3
388,らっかせい　ピーナッツバター　,640,25.4,50.7,20.5,6.1,14.4,0.9
389,アーティチョーク　花らい　生　,48,2.3,0.2,11.3,8.7,2.6,0.1
390,アーティチョーク　花らい　ゆで　,45,2.1,0.1,10.8,8.6,2.2,0
391,あさつき　葉　生　,33,4.2,0.3,5.6,3.3,2.3,0
392,あさつき　葉　ゆで　,39,4.2,0.3,7.3,3.4,3.9,0
393,あしたば　茎葉　生　,33,3.3,0.1,6.7,5.6,1.1,0.2
394,あしたば　茎葉　ゆで　,31,2.9,0.1,6.6,5.3,1.3,0.1
395,アスパラガス　若茎　生　,22,2.6,0.2,3.9,1.8,2.1,0
396,アスパラガス　若茎　ゆで　,24,2.6,0.1,4.6,2.1,2.5,0
397,アスパラガス　若茎　油いため　,57,2.9,3.9,4.1,2.1,2,0
398,アスパラガス　水煮缶詰　,22,2.4,0.1,4.3,1.7,2.6,0.9
399,アロエ　葉　生　,3,0,0.1,0.7,0.4,0.3,0
400,いんげんまめ　さやいんげん　若ざや　生　,23,1.8,0.1,5.1,2.4,2.7,0
401,いんげんまめ　さやいんげん　若ざや　ゆで　,26,1.8,0.2,5.5,2.6,2.9,0
402,うど　茎　生　,18,0.8,0.1,4.3,1.4,2.9,0
403,うど　茎　水さらし　,14,0.6,0,3.4,1.6,1.8,0
404,やまうど　茎　生　,19,1.1,0.1,4.3,1.8,2.5,0
405,えだまめ　生　,135,11.7,6.2,8.8,5,3.8,0
406,えだまめ　ゆで　,134,11.5,6.1,8.9,4.6,4.3,0
407,えだまめ　冷凍　,159,13,7.6,10.6,7.3,3.3,0
408,エンダイブ　葉　生　,15,1.2,0.2,2.9,2.2,0.7,0.1
409,トウミョウ　茎葉　生　,27,3.8,0.4,4,3.3,0.7,0
410,トウミョウ　芽ばえ　生　,24,3.8,0.4,3.2,2.2,1,0
411,トウミョウ　芽ばえ　ゆで　,27,3.6,0.6,3.8,3.5,0.3,0
412,トウミョウ　芽ばえ　油いため　,82,5,5.9,4.3,3,1.3,0
413,さやえんどう　若ざや　生　,36,3.1,0.2,7.5,3,4.5,0
414,さやえんどう　若ざや　ゆで　,34,3.2,0.2,7,3.1,3.9,0
415,スナップえんどう　若ざや　生　,43,2.9,0.1,9.9,2.5,7.4,0
416,グリンピース　生　,93,6.9,0.4,15.3,7.7,7.6,0
417,グリンピース　ゆで　,110,8.3,0.2,18.5,8.6,9.9,0
418,グリンピース　冷凍　,98,5.6,0.7,17.2,5.9,11.3,0.2
419,グリンピース　水煮缶詰　,98,3.6,0.4,19.7,6.9,12.8,0.8
420,おおさかしろな　葉　生　,13,1.4,0.2,2.2,1.8,0.4,0.1
421,おおさかしろな　葉　ゆで　,17,1.6,0.3,3.1,2.2,0.9,0.1
422,おおさかしろな　塩漬　,22,1.3,0.3,4.5,3.1,1.4,1.6
423,おかひじき　茎葉　生　,17,1.4,0.2,3.4,2.5,0.9,0.1
424,おかひじき　茎葉　ゆで　,17,1.2,0.1,3.8,2.7,1.1,0.2
425,オクラ　果実　生　,30,2.1,0.2,6.6,5,1.6,0
426,オクラ　果実　ゆで　,33,2.1,0.1,7.6,5.2,2.4,0
427,かぶ　葉　生　,20,2.3,0.1,3.9,2.9,1,0.1
428,かぶ　葉　ゆで　,22,2.3,0.1,4.4,3.7,0.7,0
429,かぶ　根　皮つき　生　,20,0.7,0.1,4.6,1.5,3.1,0
430,かぶ　根　皮つき　ゆで　,21,0.7,0.1,4.7,1.8,2.9,0
431,かぶ　根　皮むき　生　,21,0.6,0.1,4.8,1.4,3.4,0
432,かぶ　根　皮むき　ゆで　,22,0.6,0.1,5,1.7,3.3,0
433,かぶ　漬物　塩漬　葉　,29,2.3,0.2,6,3.6,2.4,2.3
434,かぶ　漬物　塩漬　根　皮つき　,23,1,0.2,4.9,1.9,3,2.8
435,かぶ　漬物　塩漬　根　皮むき　,21,0.8,0.1,4.7,2,2.7,4.3
436,かぶ　漬物　ぬかみそ漬　葉　,34,3.3,0.1,7.1,4,3.1,3.8
437,かぶ　漬物　ぬかみそ漬　根　皮つき　,28,1.5,0.1,5.9,2,3.9,2.2
438,かぶ　漬物　ぬかみそ漬　根　皮むき　,31,1.4,0.1,6.9,1.8,5.1,6.9
439,日本かぼちゃ　果実　生　,49,1.6,0.1,10.9,2.8,8.1,0
440,日本かぼちゃ　果実　ゆで　,60,1.9,0.1,13.3,3.6,9.7,0
441,西洋かぼちゃ　果実　生　,91,1.9,0.3,20.6,3.5,17.1,0
442,西洋かぼちゃ　果実　ゆで　,93,1.6,0.3,21.3,4.1,17.2,0
443,西洋かぼちゃ　果実　焼き　,122,2.5,0.4,27.7,5.3,22.4,0
444,西洋かぼちゃ　果実　冷凍　,83,2.2,0.3,18.5,4.2,14.3,0
445,そうめんかぼちゃ　果実　生　,24,0.7,0.1,6.1,1.5,4.6,0
446,からしな　葉　生　,26,3.3,0.1,4.7,3.7,1,0.2
447,からしな　塩漬　,36,4,0.1,7.2,5,2.2,2.5
448,カリフラワー　花序　生　,27,3,0.1,5.2,2.9,2.3,0
449,カリフラワー　花序　ゆで　,26,2.7,0.1,5.1,3.2,1.9,0
450,かんぴょう　乾　,260,6.3,0.2,68.1,30.1,38,0
451,かんぴょう　ゆで　,28,0.7,0,7.2,5.3,1.9,0
452,きく　花びら　生　,27,1.4,0,6.5,3.4,3.1,0
453,きく　花びら　ゆで　,23,1,0,5.7,2.9,2.8,0
454,きく　菊のり　,292,11.6,0.2,73.5,29.6,43.9,0
455,キャベツ　結球葉　生　,23,1.3,0.2,5.2,1.8,3.4,0
456,キャベツ　結球葉　ゆで　,20,0.9,0.2,4.6,2,2.6,0
457,キャベツ　結球葉　油いため　,81,1.6,6,5.9,2.2,3.7,0
458,グリーンボール　結球葉　生　,20,1.4,0.1,4.3,1.6,2.7,0
459,レッドキャベツ　結球葉　生　,30,2,0.1,6.7,2.8,3.9,0
460,きゅうり　果実　生　,14,1,0.1,3,1.1,1.9,0
461,きゅうり　漬物　塩漬　,16,1,0.1,3.7,1.3,2.4,2.5
462,きゅうり　漬物　しょうゆ漬　,50,3.2,0.4,10.8,3.4,7.4,4.1
463,きゅうり　漬物　ぬかみそ漬　,27,1.5,0.1,6.2,1.5,4.7,5.3
464,きゅうり　漬物　ピクルス　スイート型　,67,0.3,0.1,18.3,1.7,16.6,1.1
465,きゅうり　漬物　ピクルス　サワー型　,12,1.4,0,2.5,1.4,1.1,2.5
466,ぎょうじゃにんにく　葉　生　,34,3.5,0.2,6.6,3.3,3.3,0
467,キンサイ　茎葉　生　,19,1.1,0.4,3.5,2.5,1,0.1
468,キンサイ　茎葉　ゆで　,19,1.1,0.4,3.5,2.9,0.6,0.1
469,クレソン　茎葉　生　,15,2.1,0.1,2.5,2.5,0,0.1
470,くわい　塊茎　生　,126,6.3,0.1,26.6,2.4,24.2,0
471,くわい　塊茎　ゆで　,128,6.2,0.1,27.2,2.8,24.4,0
472,ケール　葉　生　,28,2.1,0.4,5.6,3.7,1.9,0
473,コールラビ　球茎　生　,21,1,0,5.1,1.9,3.2,0
474,コールラビ　球茎　ゆで　,21,1,0,5.2,2.3,2.9,0
475,こごみ　若芽　生　,28,3,0.2,5.3,5.2,0.1,0
476,ごぼう　根　生　,65,1.8,0.1,15.4,5.7,9.7,0
477,ごぼう　根　ゆで　,58,1.5,0.2,13.7,6.1,7.6,0
478,こまつな　葉　生　,14,1.5,0.2,2.4,1.9,0.5,0
479,こまつな　葉　ゆで　,15,1.6,0.1,3,2.4,0.6,0
480,ザーサイ　漬物　,23,2.5,0.1,4.6,4.6,0,13.7
481,さんとうさい　葉　生　,14,1,0.2,2.7,2.2,0.5,0
482,さんとうさい　葉　ゆで　,16,1.4,0.3,2.9,2.5,0.4,0
483,さんとうさい　塩漬　,20,1.5,0.3,4,3,1,2.3
484,しかくまめ　若ざや　生　,20,2.4,0.1,3.8,3.2,0.6,0
485,ししとう　果実　生　,27,1.9,0.3,5.7,3.6,2.1,0
486,ししとう　果実　油いため　,55,1.9,3.2,5.8,3.6,2.2,0
487,しそ　葉　生　,37,3.9,0.1,7.5,7.3,0.2,0
488,しそ　実　生　,41,3.4,0.1,8.9,8.9,0,0
489,じゅうろくささげ　若ざや　生　,24,2.5,0.1,4.8,4.2,0.6,0
490,じゅうろくささげ　若ざや　ゆで　,30,2.8,0.1,6.2,4.5,1.7,0
491,しゅんぎく　葉　生　,22,2.3,0.3,3.9,3.2,0.7,0.2
492,しゅんぎく　葉　ゆで　,27,2.7,0.5,4.5,3.7,0.8,0.1
493,じゅんさい　若葉　水煮びん詰　,5,0.4,0,1,1,0,0
494,葉しょうが　根茎　生　,11,0.5,0.2,2.1,1.6,0.5,0
495,しょうが　根茎　生　,30,0.9,0.3,6.6,2.1,4.5,0
496,しょうが　漬物　酢漬　,19,0.2,0.4,4,2.4,1.6,7.1
497,しょうが　漬物　甘酢漬　,51,0.2,0.3,12.5,2,10.5,3
498,しろうり　果実　生　,15,0.9,0.1,3.3,1.2,2.1,0
499,しろうり　漬物　塩漬　,16,1,0.1,3.7,2.2,1.5,2
500,しろうり　漬物　奈良漬　,157,4.5,0.1,40.8,2.4,38.4,4.3
501,ずいき　生ずいき　生　,16,0.5,0,4.1,1.6,2.5,0
502,ずいき　生ずいき　ゆで　,12,0.4,0,3.1,2.1,1,0
503,ずいき　干しずいき　乾　,246,6.6,0.4,63.5,25.8,37.7,0
504,ずいき　干しずいき　ゆで　,13,0.5,0,3.4,3.1,0.3,0
505,すぐきな　葉　生　,26,1.9,0.2,5.4,4,1.4,0.1
506,すぐきな　根　生　,21,0.6,0.1,4.7,1.7,3,0.1
507,すぐきな　すぐき漬　,34,2.6,0.7,6.1,5.2,0.9,2.2
508,ズッキーニ　果実　生　,14,1.3,0.1,2.8,1.3,1.5,0
509,せり　茎葉　生　,17,2,0.1,3.3,2.5,0.8,0
510,せり　茎葉　ゆで　,18,2.1,0.1,3.4,2.8,0.6,0
511,セロリ　葉柄　生　,15,0.4,0.1,3.6,1.5,2.1,0.1
512,ぜんまい　生ぜんまい　若芽　生　,29,1.7,0.1,6.6,3.8,2.8,0
513,ぜんまい　生ぜんまい　若芽　ゆで　,21,1.1,0.4,4.1,3.5,0.6,0
514,ぜんまい　干しぜんまい　干し若芽　乾　,293,14.6,0.6,70.8,34.8,36,0.1
515,ぜんまい　干しぜんまい　干し若芽　ゆで　,29,1.7,0.1,6.8,5.2,1.6,0
516,そらまめ　未熟豆　生　,108,10.9,0.2,15.5,2.6,12.9,0
517,そらまめ　未熟豆　ゆで　,112,10.5,0.2,16.9,4,12.9,0
518,タアサイ　葉　生　,13,1.3,0.2,2.2,1.9,0.3,0.1
519,タアサイ　葉　ゆで　,13,1.1,0.2,2.3,2.1,0.2,0.1
520,かいわれだいこん　芽ばえ　生　,21,2.1,0.5,3.3,1.9,1.4,0
521,葉だいこん　葉　生　,18,2,0.2,3.3,2.6,0.7,0.1
522,だいこん　葉　生　,25,2.2,0.1,5.3,4,1.3,0.1
523,だいこん　葉　ゆで　,25,2.2,0.1,5.4,3.6,1.8,0.1
524,だいこん　根　皮つき　生　,18,0.5,0.1,4.1,1.4,2.7,0
525,だいこん　根　皮つき　ゆで　,18,0.4,0,4.5,1.6,2.9,0
526,だいこん　根　皮むき　生　,18,0.4,0.1,4.1,1.3,2.8,0
527,だいこん　根　皮むき　ゆで　,18,0.5,0.1,4,1.7,2.3,0
528,切干しだいこん　乾　,301,9.7,0.8,69.7,21.3,48.4,0.5
529,切干しだいこん　ゆで　,19,0.9,0.1,4.1,3.7,0.4,0
530,切干しだいこん　油いため　,88,1.5,6,7.6,5.6,2,0
531,漬物　ぬかみそ漬　,30,1.3,0.1,6.7,1.8,4.9,3.8
532,漬物　たくあん漬　塩押しだいこん漬　,64,1.2,0.3,15.2,3.5,11.7,4.3
533,漬物　たくあん漬　干しだいこん漬　,27,1.9,0.1,5.5,3.7,1.8,2.5
534,漬物　守口漬　,187,5.3,0.2,44.3,3.3,41,3.6
535,漬物　べったら漬　,57,0.9,0.1,14,1.8,12.2,3
536,漬物　みそ漬　,78,4.5,0.3,16.3,3.3,13,11.2
537,漬物　福神漬　,136,2.7,0.1,33.3,3.9,29.4,5.1
538,つまみな　葉　生　,20,1.9,0.3,3.6,2.3,1.3,0.1
539,たいさい　葉　生　,16,0.9,0.1,3.5,1.6,1.9,0.1
540,たいさい　塩漬　,20,1.6,0.1,4.3,2.5,1.8,1.8
541,たかな　葉　生　,21,1.8,0.2,4.2,2.5,1.7,0.1
542,たかな　たかな漬　,33,2.8,0.2,7,5.2,1.8,5.8
543,たけのこ　若茎　生　,26,3.6,0.2,4.3,2.8,1.5,0
544,たけのこ　若茎　ゆで　,30,3.5,0.2,5.5,3.3,2.2,0
545,たけのこ　水煮缶詰　,23,2.7,0.2,4,2.3,1.7,0
546,たけのこ　めんま　塩蔵　塩抜き　,19,1,0.5,3.6,3.5,0.1,0.9
547,たまねぎ　りん茎　生　,37,1,0.1,8.8,1.6,7.2,0
548,たまねぎ　りん茎　水さらし　,26,0.6,0.1,6.1,1.5,4.6,0
549,たまねぎ　りん茎　ゆで　,31,0.8,0.1,7.3,1.7,5.6,0
550,たまねぎ　りん茎　油いため　,105,1.4,5.9,12,2.7,9.3,0
551,赤たまねぎ　りん茎　生　,38,0.9,0.1,9,1.7,7.3,0
552,葉たまねぎ　りん茎及び葉　生　,37,1.8,0.4,7.6,3,4.6,0
553,たらのめ　若芽　生　,27,4.2,0.2,4.3,4.2,0.1,0
554,たらのめ　若芽　ゆで　,26,4,0.2,4.1,3.6,0.5,0
555,チコリ　若芽　生　,16,1,0,3.9,1.1,2.8,0
556,チンゲンサイ　葉　生　,9,0.6,0.1,2,1.2,0.8,0.1
557,チンゲンサイ　葉　ゆで　,12,0.9,0.1,2.4,1.5,0.9,0.1
558,チンゲンサイ　葉　油いため　,39,0.8,3.2,2.2,1.4,0.8,0.1
559,つくし　胞子茎　生　,38,3.5,0.1,8.1,8.1,0,0
560,つくし　胞子茎　ゆで　,33,3.4,0.1,6.7,6.7,0,0
561,つるな　茎葉　生　,15,1.8,0.1,2.8,2.3,0.5,0
562,つるむらさき　茎葉　生　,13,0.7,0.2,2.6,2.2,0.4,0
563,つるむらさき　茎葉　ゆで　,15,0.9,0.2,3.2,3.1,0.1,0
564,つわぶき　葉柄　生　,21,0.4,0,5.6,2.5,3.1,0.3
565,つわぶき　葉柄　ゆで　,16,0.3,0,4.4,2.3,2.1,0.1
566,とうがらし　葉･果実　生　,35,3.4,0.1,7.2,5.7,1.5,0
567,とうがらし　葉･果実　油いため　,85,4,4.9,8.5,6.3,2.2,0
568,とうがらし　果実　生　,96,3.9,3.4,16.3,10.3,6,0
569,とうがらし　果実　乾　,345,14.7,12,58.4,46.4,12,0
570,とうがん　果実　生　,16,0.5,0.1,3.8,1.3,2.5,0
571,とうがん　果実　ゆで　,16,0.6,0.1,3.7,1.5,2.2,0
572,スイートコーン　未熟種子　生　,92,3.6,1.7,16.8,3,13.8,0
573,スイートコーン　未熟種子　ゆで　,99,3.5,1.7,18.6,3.1,15.5,0
574,スイートコーン　未熟種子　電子レンジ調理　,107,4.2,2.2,19.1,3.4,15.7,0
575,スイートコーン　未熟種子　穂軸つき　冷凍　,97,3.5,1.5,18.7,2.8,15.9,0
576,スイートコーン　未熟種子　カーネル　冷凍　,99,2.9,1.5,19.4,2.8,16.6,0
577,スイートコーン　缶詰　クリームスタイル　,84,1.7,0.5,18.6,1.8,16.8,0.7
578,スイートコーン　缶詰　ホールカーネルスタイル　,82,2.3,0.5,17.8,3.3,14.5,0.5
579,ヤングコーン　幼雌穂　生　,29,2.3,0.2,6,2.7,3.3,0
580,トマト　果実　生　,19,0.7,0.1,4.7,1,3.7,0
581,ミニトマト　果実　生　,29,1.1,0.1,7.2,1.4,5.8,0
582,缶詰　ホール　食塩無添加　,20,0.9,0.2,4.4,1.3,3.1,0
583,缶詰　トマトジュース　食塩添加　,17,0.7,0.1,4,0.7,3.3,0.3
584,缶詰　トマトジュース　食塩無添加　,17,0.7,0.1,4,0.7,3.3,0
585,缶詰　ミックスジュース　食塩添加　,17,0.6,0,4.3,0.7,3.6,0.2
586,缶詰　ミックスジュース　食塩無添加　,17,0.6,0,4.3,0.7,3.6,0
587,トレビス　葉　生　,18,1.1,0.2,3.9,2,1.9,0
588,とんぶり　ゆで　,90,6.1,3.5,12.9,7.1,5.8,0
589,ながさきはくさい　葉　生　,13,1.3,0.1,2.6,2.2,0.4,0.1
590,ながさきはくさい　葉　ゆで　,18,2.2,0.1,3.4,2.4,1,0
591,なす　果実　生　,22,1.1,0.1,5.1,2.2,2.9,0
592,なす　果実　ゆで　,19,1,0.1,4.5,2.1,2.4,0
593,なす　果実　油いため　,79,1.5,5.8,6.3,2.6,3.7,0
594,なす　果実　天ぷら　,180,1.6,14,12,1.9,10.1,0.1
595,べいなす　果実　生　,22,1.1,0.1,5.3,2.4,2.9,0
596,べいなす　果実　素揚げ　,183,1,17,6.7,1.8,4.9,0
597,漬物　塩漬　,23,1.4,0.1,5.2,2.7,2.5,2.2
598,漬物　ぬかみそ漬　,27,1.7,0.1,6.1,2.7,3.4,2.5
599,漬物　こうじ漬　,79,5.5,0.1,18.2,4.2,14,6.6
600,漬物　からし漬　,118,2.6,0.2,30.7,4.2,26.5,4.8
601,漬物　しば漬　,30,1.4,0.2,7,4.4,2.6,4.1
602,なずな　葉　生　,36,4.3,0.1,7,5.4,1.6,0
603,和種なばな　花らい・茎　生　,33,4.4,0.2,5.8,4.2,1.6,0
604,和種なばな　花らい・茎　ゆで　,28,4.7,0.1,4.3,4.3,0,0
605,洋種なばな　茎葉　生　,35,4.1,0.4,6,3.7,2.3,0
606,洋種なばな　茎葉　ゆで　,31,3.6,0.4,5.3,4.1,1.2,0
607,にがうり　果実　生　,17,1,0.1,3.9,2.6,1.3,0
608,にがうり　果実　油いため　,50,1.2,3.3,4.6,2.8,1.8,0
609,にら　葉　生　,21,1.7,0.3,4,2.7,1.3,0
610,にら　葉　ゆで　,31,2.6,0.5,5.7,4.3,1.4,0
611,にら　葉　油いため　,74,1.9,5.7,4.9,3.5,1.4,0
612,花にら　花茎・花らい　生　,27,1.9,0.2,5.9,2.8,3.1,0
613,黄にら　葉　生　,18,2.1,0.1,3.3,2,1.3,0
614,葉にんじん　葉　生　,18,1.1,0.2,3.7,2.7,1,0.1
615,にんじん　根　皮つき　生　,39,0.7,0.2,9.3,2.8,6.5,0.1
616,にんじん　根　皮つき　ゆで　,36,0.6,0.2,8.4,3,5.4,0.1
617,にんじん　根　皮むき　生　,36,0.8,0.1,8.7,2.4,6.3,0.1
618,にんじん　根　皮むき　ゆで　,36,0.7,0.1,8.5,2.8,5.7,0.1
619,にんじん　根　皮むき　油いため　,109,1.1,6.4,12.4,3.1,9.3,0.1
620,にんじん　根　皮むき　素揚げ　,89,1,3.5,13.9,1.1,12.8,0.1
621,にんじん　根　皮　生　,31,0.7,0.2,7.3,3.8,3.5,0
622,にんじん　根　冷凍　,35,0.8,0.2,8.2,2.9,5.3,0.2
